2681,Science,What is the term for the study of how organisms adapt to their environment?,Ecology,Evolutionary biology,Adaptation science,Environmental biology,B,Evolutionary biology studies how organisms change to fit their environment,Easy
2682,Science,Which gas is produced when metals corrode?,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,B,Metal corrosion often produces hydrogen gas,Easy
2683,Science,What is the basic unit of genetic information?,Gene,Chromosome,DNA,Allele,A,Genes are the fundamental units that carry genetic instructions,Easy
2684,Science,Which process allows water to move from areas of high to low concentration?,Diffusion,Osmosis,Active transport,Filtration,B,Osmosis is the movement of water across membranes,Easy
2685,Science,What is the study of the formation and properties of crystals called?,Mineralogy,Crystallography,Petrology,Geochemistry,B,Crystallography studies crystal structure and formation,Easy
2686,Science,Which type of energy is released during chemical reactions?,Kinetic,Potential,Chemical,Thermal,C,Chemical energy is stored in molecular bonds,Easy
2687,Science,What is the term for organisms that make their own food?,Consumers,Producers,Decomposers,Herbivores,B,Producers like plants make their own food through photosynthesis,Easy
2688,Science,Which part of the plant cell provides structural support?,Cytoplasm,Cell membrane,Cell wall,Nucleus,C,The cell wall gives plant cells their rigid structure,Easy
2689,Science,What is the study of the Earth's water systems called?,Geology,Hydrology,Meteorology,Oceanography,B,Hydrology studies water movement and distribution,Easy
2690,Science,Which gas is essential for maintaining the ozone layer?,Oxygen,Nitrogen,Chlorofluorocarbon,Ozone,D,Ozone molecules form the protective ozone layer,Easy
2691,Science,What is the term for the change of state from liquid to solid?,Melting,Freezing,Condensation,Sublimation,B,Freezing converts liquid phase to solid phase,Easy
2692,Science,Which organ system protects the body from pathogens?,Respiratory,Immune,Digestive,Circulatory,B,The immune system defends against disease-causing organisms,Easy
2693,Science,What is the basic unit of matter that retains chemical properties?,Atom,Molecule,Ion,Compound,B,Molecules are the smallest units with chemical properties,Easy
2694,Science,Which process describes the wearing away of rock by moving water?,Weathering,Erosion,Sedimentation,Deposition,B,Erosion transports weathered material away from its source,Easy
2695,Science,What is the study of the chemical processes in living organisms?,Biochemistry,Chemistry,Biology,Physiology,A,Biochemistry focuses on chemical reactions in biological systems,Easy
2696,Science,Which type of reproduction involves spores and gametes?,Asexual,Sexual,Vegetative,Binary fission,B,Sexual reproduction in plants often involves both spores and gametes,Easy
2697,Science,What is the term for the force that resists changes in motion?,Inertia,Momentum,Friction,Gravity,A,Inertia is an object's resistance to changes in its state of motion,Easy
2698,Science,Which gas is commonly found in carbonated beverages?,Oxygen,Carbon dioxide,Nitrogen,Helium,B,Carbon dioxide creates the fizz in carbonated drinks,Easy
2699,Science,What is the study of the structure and function of genes called?,Genetics,Genomics,Molecular biology,Cell biology,A,Genetics studies heredity and genetic variation,Easy
2700,Science,Which part of the nervous system includes the brain and spinal cord?,Peripheral,Central,Autonomic,Somatic,B,The central nervous system consists of brain and spinal cord,Easy
2701,Science,What is the term for the study of soil formation and properties?,Pedology,Geology,Agronomy,Earth science,A,Pedology is the scientific study of soil,Easy
2702,Science,Which process allows plants to respond to touch?,Phototropism,Geotropism,Thigmotropism,Chemotropism,C,Thigmotropism is growth response to mechanical stimuli,Easy
