1651,Science,What is the name of the process where plants convert nitrogen gas into usable compounds?,Photosynthesis,Nitrogen fixation,Respiration,Transpiration,B,Nitrogen fixation converts atmospheric nitrogen into ammonia or related compounds,Easy
1652,Science,Which organ in the human body produces red blood cells?,Heart,Liver,Bone marrow,Spleen,C,Red blood cells are produced in the bone marrow,Easy
1653,Science,What is the chemical formula for hydrogen peroxide?,H2O,H2O2,HO2,H3O,B,Hydrogen peroxide has the chemical formula H2O2,Easy
1654,Science,Which gas is released when baking soda reacts with vinegar?,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,C,The reaction produces carbon dioxide gas which causes bubbling,Easy
1655,Science,What type of animal is a newt?,Reptile,Amphibian,Fish,Mammal,B,Newts are amphibians that can live both in water and on land,Easy
1656,Science,How many chambers does a frog's heart have?,2,3,4,5,B,Frogs have three-chambered hearts,Easy
1657,Science,What is the hardest natural substance on Earth after diamond?,Quartz,Corundum,Graphite,Talc,B,Corundum (including ruby and sapphire) is the second hardest natural substance,Easy
1658,Science,Which planet is known for its prominent ring system?,Jupiter,Saturn,Uranus,Neptune,B,Saturn is famous for its visible ring system,Easy
1659,Science,What is the main component of natural gas?,Methane,Ethane,Propane,Butane,A,Natural gas is primarily composed of methane,Easy
1660,Science,Which part of the brain controls balance?,Cerebrum,Cerebellum,Brain stem,Frontal lobe,B,The cerebellum controls balance and coordination,Easy
1661,Science,What is the study of fossils called?,Archaeology,Paleontology,Geology,Anthropology,B,Paleontology is the scientific study of fossils,Easy
1662,Science,Which blood type is known as the universal recipient?,O,A,B,AB,D,AB blood type can receive blood from any other type,Easy
1663,Science,What is the most common element in the human body?,Carbon,Hydrogen,Oxygen,Nitrogen,C,Oxygen makes up about 65% of the human body by mass,Easy
1664,Science,Which organelle is known as the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Golgi apparatus,C,Mitochondria generate ATP energy for the cell,Easy
1665,Science,What type of rock is formed from cooled magma?,Sedimentary,Metamorphic,Igneous,Limestone,C,Igneous rocks form when magma or lava cools and solidifies,Easy
1666,Science,Which vitamin is produced when skin is exposed to sunlight?,Vitamin A,Vitamin C,Vitamin D,Vitamin K,C,The skin produces vitamin D when exposed to UV light,Easy
1667,Science,What is the largest organ in the human body?,Brain,Heart,Liver,Skin,D,The skin is the largest organ by surface area,Easy
1668,Science,Which gas do plants absorb during photosynthesis?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,B,Plants absorb carbon dioxide during photosynthesis,Easy
1669,Science,What is the study of earthquakes called?,Volcanology,Seismology,Meteorology,Oceanography,B,Seismology is the study of earthquakes,Easy
